pos_name,salary_low_bound,salary_high_bound,salary_fee_months,main_tech,pos_keyword,pos_domain,city,location,degree,exp,person_in_charge,charge_pos,pos_responsibility,pos_requirement,pos_detail,enterprise,enterprise_scale,create_time
高级java工程师,28.0,35.0,14,"Java,后端开发,金融领域,银行领域","Java,后端开发,金融领域,银行领域",,深圳,南山区,本科,5-10年,张女士,招聘主管,,,,威富通科技有限公司,其他,2022-06-11 22:20:38
Java研发工程师,10.0,25.0,12,"Ehcache,后端开发,Spring,模块开发,功能开发,框架设计,框架开发,电商领域,系统开发,引擎开发","Ehcache,后端开发,Spring,模块开发,功能开发,框架设计,框架开发,电商领域,系统开发,引擎开发",,重庆,渝北区,统招本科,3-5年,周先生,HR,,,,重庆长安新能源,融资未公开,2022-06-11 22:20:38
java工程师,10.0,25.0,12,"架构设计,框架开发,框架设计,消息队列,MySQL,Oracle,SQL","架构设计,框架开发,框架设计,消息队列,MySQL,Oracle,SQL",,重庆,渝北区,本科,经验不限,张女士,,,,,重庆金康赛力斯新能源汽车设计院有限公司,500-999人,2022-06-11 22:20:38
Java工程师,12.0,18.0,12,"框架开发,框架设计,服务器开发","框架开发,框架设计,服务器开发",,深圳,南山区,大专,1-3年,陈女士,招聘专员,,,,威胜电气,500-999人,2022-06-11 22:20:38
java开发,20.0,40.0,12,"后端开发,框架设计,框架开发,银行领域,SQL,Java","后端开发,框架设计,框架开发,银行领域,SQL,Java",,北京,东城区,统招本科,3-5年,蒋先生,,,,,民生科技有限责任公司,5000-10000人,2022-06-11 22:20:38
java软件开发工程师,0.0,0.0,0,java,java,,广州,天河区,统招本科,1-3年,李先生,,,,,中国电信股份有限公司研究院,已上市,2022-06-11 22:20:38
java工程师,15.0,35.0,12,"Python,Java,全栈开发,上位机,ASPICE,jenkins,bootloader,A2L,DBC,MBD","Python,Java,全栈开发,上位机,ASPICE,jenkins,bootloader,A2L,DBC,MBD",,深圳,坪山区,统招本科,1-3年,田先生,科长,,,,比亚迪汽车工业有限公司,10000人以上,2022-06-11 22:20:38
西门子中国研究院 Java后端开发工程师,25.0,40.0,15,"MySQL,SQL","MySQL,SQL",,北京,朝阳区,统招本科,3-5年,王先生,招聘专家,,,,西门子,10000人以上,2022-06-11 22:20:38
高级java工程师,20.0,35.0,14,"需求分析,SpringCloud,PBR开发,Java,SQL","需求分析,SpringCloud,PBR开发,Java,SQL",,北京,,统招本科,5-10年,周女士,人力资源总监,,,,六六云链科技(宁波)有限公司,天使轮,2022-06-11 22:20:38
Java软件工程师-北京,25.0,32.0,12,"功能开发,模块开发,前端开发,框架开发,框架设计,Vue,React,SQL,Java","功能开发,模块开发,前端开发,框架开发,框架设计,Vue,React,SQL,Java",,北京,丰台区,本科,5-10年,刘女士,招聘专员/助理,,,,中建材信息技术股份有限公司,已上市,2022-06-11 22:20:38
Java开发工程,25.0,40.0,18,"Spring,JVM,架构设计,Web开发,前端开发,需求分析","Spring,JVM,架构设计,Web开发,前端开发,需求分析",,北京,朝阳区,统招本科,5-10年,丁女士,HRBP经理,,,,成都仰格科技有限责任公司,100-499人,2022-06-11 22:20:38
AIoT平台-高级java研发工程师,25.0,45.0,15,"模块开发,JVM,框架设计,框架开发,非关系型数据库,SQL,MySQL,Java","模块开发,JVM,框架设计,框架开发,非关系型数据库,SQL,MySQL,Java",,北京,海淀区,本科,3-5年,王女士,招聘经理,,,,滴滴,其他,2022-06-11 22:20:38
JAVA开发工程师,11.0,22.0,14,"SpringMVC,Spring Boot,架构设计,Spring,系统开发,SQL,后端开发","SpringMVC,Spring Boot,架构设计,Spring,系统开发,SQL,后端开发",,上海,普陀区,统招本科,1-3年,梁女士,HR,,,,罗普特(上海)科技有限公司,500-999人,2022-06-11 22:20:38
