job_title,job_dq,job_tag,job_salary,job_labels,company,company_field,company_size,hr,hr_pos
Java开发工程师(XJ002399),北京,,20-30k·13薪,"5-10年,统招本科,Java",北京牛电科技有限责任公司,智能硬件,美股上市,贾女士,人力资源主管/招聘主管
java开发工程师,苏州-工业园区,,10-15k,"1-3年,统招本科,Web Service,网页开发",苏州伊欧陆系统集成有限公司,电子/芯片/半导体,50-99人,刘女士,人事
Java工程师,北京-海淀区,,20-30k,"3-5年,本科,模块开发,MySQL,Oracle,SQL,UML,GIT",北京大数据先进技术研究院,大数据,融资未公开,张女士,人力资源
Java开发工程师,深圳-南山区,,20-35k,"3-5年,本科,模块开发,功能开发,框架设计,框架开发,JVM,Java,消息队列",矩阵元,互联网/电商,A轮,戴女士,人事总监
Java开发实习生,杭州-余杭区,,3k,"经验不限,本科,Web开发,功能开发,模块开发,需求分析,MySQL,SQL",杭州思普盟网络科技有限公司,计算机软件,B轮,许女士,
java工程师,广州,,8-15k·13薪,"3-5年,本科,Hibernate,HTML,Nginx,Tomcat,SQL",中兴新支点,计算机软件,100-499人,李女士,HR
Lead Software Engineer (Java),深圳-南山区,,面议,"5-10年,学历不限,CI,Java,SQL,.NET,ActionScript,SQL Server,Linux",亿磐,计算机软件,美股上市,李女士,无
中级java开发工程师,深圳-南山区,,12-17k,"3-5年,本科,Spring,Java,SpringBoot,MySQL,后端开发",深圳云游四海信息科技有限公司,物联网,融资未公开,何先生,人力资源总监
java开发,深圳-南山区,,9-11k,"1-3年,本科,Java,Spring,SpringBoot,MySQL,Web开发",深圳云游四海信息科技有限公司,物联网,融资未公开,何先生,人力资源总监
java开发,杭州-拱墅区,,18-25k,"1-3年,统招本科,Spring Cloud,Java,后端开发,Vue,大数据领域,金融领域,工业互联网",天道金科股份有限公司,计算机软件,战略投资,李先生,HR
java开发软件工程师,宁波-鄞州区,,12-24k·13薪,"3-5年,统招本科,Java,后端开发,Spring Boot,Mybatis",一木智能,计算机视觉,50-99人,杨女士,
Java,苏州,,10-15k,"3-5年,本科,Spring,系统开发,Netty,人工智能领域,Mybatis,JVM,后端开发,通信领域,Redis,消息队列",苏州航天系统工程,IT服务,50-99人,顾女士,经理
JAVA后端开发工程师,天津,,13-22k,"3-5年,统招本科,大数据领域,JVM,后端开发,网络开发,前端开发,通信领域,Tomcat,MySQL,非关系型数据库",国网瑞嘉,机器人,100-499人,韩女士,HRBP
JAVA软件工程师,武汉-武昌区,,12-16k,"经验不限,统招本科,JVM,架构设计,SpringCloud,Dubbo,系统开发,消息队列,RabbitMQ,Docker,容器,Kafka",湖北长江云新媒体集团有限公司,互联网+,100-499人,鄢女士,招聘专员
java开发,宁波-鄞州区,,12-24k·13薪,"3-5年,本科,Java,系统开发,Spring Boot,SQL,后端开发",一木智能,计算机视觉,50-99人,李女士,人事经理
软件技术部—高级java开发工程师,杭州-滨江区,,15-30k·15薪,"5-10年,统招本科,UML,PostgreSQL,MySQL,Oracle,Linux",海康威视,计算机软件,沪深A股上市,方女士,招聘HR
Java开发工程师,深圳,,15-30k·14薪,"3-5年,统招本科,Java",顺丰,交通/物流/运输,10000人以上,栗先生,招聘经理
java工程师,北京,,18-25k,"3-5年,统招本科,模块开发,框架开发,框架设计,功能开发,系统开发,Java,SQL",观成科技,计算机软件,A轮,李先生,总经理
java高级工程师,北京-东城区,,20-25k,"5-10年,本科,Mybatis,框架开发,框架设计,Spring,JVM,IT/信息化领域,架构设计,前端开发,MySQL,消息队列",中远海运科技(北京)有限公司,计算机软件,100-499人,王女士,人力资源部主管
中级java开发工程师,广州-海珠区,,18-25k,"5-10年,大专,模块开发,功能开发,大数据领域,容器,消息队列",湛蓝科技,互联网/电商,融资未公开,刘先生,招聘经理
软件开发工程师（c++或Java）,武汉-江夏区,,10-20k·14薪,"3-5年,本科,C++,Java,Python",光庭信息,IT服务,1000-2000人,梁先生,
中级java开发工程师,上海,,18-23k·13薪,"3-5年,统招本科,框架开发,框架设计,架构设计",复深蓝软件,计算机软件,2000-5000人,张女士,招聘经理
Java,北京-朝阳区,,20-30k,"5-10年,统招本科,Java",北京网路智联科技有限公司,交通/物流/运输,50-99人,杨女士,无
Java开发工程师,重庆-南岸区,,1-2k,"3-5年,本科,前端开发,系统开发,Java",重庆交大交通安全科技研究院有限公司,规划/设计/装潢,1-49人,董女士,综合办负责人
Java开发工程师,广州-番禺区,,5-6k,"1-3年,学历不限,框架设计,框架开发,JVM,容器",爱家云信息科技有限公司,企业服务软件,融资未公开,林女士,
Lead Software Engineer (Java),成都-高新区,,面议,"5-10年,学历不限,CI,ActionScript,Java,SQL Server,.NET,SQL,Linux",亿磐,计算机软件,美股上市,李女士,无
Java高级开发工程师,深圳,,20-40k,"5-10年,本科,系统开发,Mybatis,消息队列,Java,SQL,非关系型数据库,MySQL,Linux",善筑控股集团有限公司,房产服务,其他,雷女士,
Java技术主管,无锡-新吴区,,20-30k·13薪,"3-5年,本科,Java,SQL,Spring,大数据领域",极熵数据,IT服务,A轮,邹先生,人事专员
java工程师,南昌-南昌县,,10-15k,"3-5年,大专,Java,需求分析,后端开发,框架开发,SQL,Javascript,SQL Server,Oracle,MySQL,工业互联网",欧菲光集团股份有限公司,电子/芯片/半导体,沪深A股上市,郭先生,招聘经理
Java开发工程师,北京,,15-25k,"3-5年,本科,Shell,分布式技术,多线程,服务器配置,数据结构,消息队列,搜索引擎技术,Spring",北京智慧星光信息技术有限公司,计算机软件,1000-2000人,刘女士,
Java开发工程师,武汉-洪山区,,15-25k,"3-5年,统招本科,Spring,Netty",矩阵元,互联网/电商,A轮,戴女士,人事总监
高级Java开发工程师 (MJ000238),上海,,20-35k,"经验不限,本科",快仓智能,人工智能,C轮,任女士,人力资源总监
Java开发工程师(高级，物联网saasD+轮）,广州,,20-30k,"3-5年,本科,源码,netty",乐摇摇,行业Saas,D轮,郭女士,
中级java软件工程师,上海-闵行区,,25-40k·14薪,"5-10年,统招本科,Java,Java框架",山景智能(北京)科技有限公司,AI行业应用,A轮,赵女士,高级招聘主管
Java研发主管,武汉,,20-25k,"3-5年,统招本科,Java,ssh,Springmvc,Mybatis,软件开发,计算机,程序员,通信,电子,软件工程师",武汉研锶信息科技有限公司,互联网+,融资未公开,刘先生,
高级Java工程师,武汉,,14-22k,"3-5年,统招本科,Java,ssh,Springmvc,Mybatis,软件开发,计算机,程序员,通信,电子,软件工程师",武汉研锶信息科技有限公司,互联网+,融资未公开,刘先生,
Java工程师,武汉,,10-14k,"1-3年,统招本科,Java,ssh,Springmvc,Mybatis,软件开发,计算机,程序员,通信,电子,软件工程师",武汉研锶信息科技有限公司,互联网+,融资未公开,刘先生,
